NBED,NBATH,NFLOOR,BLDAR,LNDAR,CERT,LOC,Price
4,4,3,72,105,SHM,Kebayoran Lama,1650000000
3,2,2,125,85,SHM,Kebayoran Lama,1100000000
3,2,2,102,117,SHM,Kebayoran Lama,1800000000
2,1,1,60,55,SHM,Kebayoran Lama,250000000
3,2,2,70,72,SHM,Kebayoran Lama,975000000
3,2,2,100,160,SHM,Kebayoran Lama,1150000000
3,2,2,60,75,SHM,Kebayoran Lama,1000000006
3,3,2,71,66,SHM,Kebayoran Lama,1200000001
2,1,1,46,46,SHM,Mampang Prapatan,550000000
3,3,2,96,131,SHM,Mampang Prapatan,2700000001
3,2,2,125,85,SHM,Mampang Prapatan,1100000000
3,2,2,70,84,SHM,Mampang Prapatan,1600000000
2,2,2,60,58,SHM,Mampang Prapatan,600000001
4,2,2,120,120,SHM,Mampang Prapatan,2000000000
2,1,1,60,36,SHM,Mampang Prapatan,300000004
3,2,2,98,180,Lainnya,Mampang Prapatan,850000000
2,2,2,60,55,SHM,Mampang Prapatan,790000000
3,2,2,63,65,SHM,Mampang Prapatan,1300000000
3,3,2,86,144,SHM,Mampang Prapatan,2000000004
3,2,2,72,70,SHM,Mampang Prapatan,875000000
3,3,2,71,66,SHM,Mampang Prapatan,1200000001
4,3,2,84,104,SHM,Mampang Prapatan,1500000000
3,3,2,60,79,SHM,Mampang Prapatan,1170000000
2,2,1,40,80,SHM,Pancoran,500000000
3,3,2,92,80,SHM,Pancoran,985000014
3,3,2,87,110,SHM,Pancoran,1150000004
3,2,1,89,87,SHM,Pancoran,1690000000
3,1,1,80,80,SHM,Pancoran,1100000000
3,2,1,54,52,SHM,Pancoran,595000077
2,1,1,40,30,SHM,Pancoran,200000000
2,1,1,62,45,SHM,Pancoran,445000000
2,1,1,60,36,SHM,Pancoran,476000010
2,1,1,60,30,SHM,Pancoran,30000000
3,1,1,72,46,SHM,Pancoran,752000000
2,1,1,60,45,SHM,Pancoran,285000000
3,2,2,73,70,SHM,Pancoran,895000002
2,1,1,80,50,SHM,Pancoran,632800000
4,4,3,72,126,SHM,Pancoran,1600000000
3,2,3,15,51,SHM,Pancoran,1175000000
3,3,2,80,80,SHM,Pancoran,925000061
3,2,2,60,57,SHM,Pancoran,600000000
3,2,2,50,100,SHM,Pasar Minggu,1300000000
2,1,1,45,35,SHM,Pasar Minggu,557500555
3,3,2,87,110,SHM,Pasar Minggu,1150000003
4,4,2,80,140,SHM,Pasar Minggu,1249000561
3,2,1,111,95,SHM,Pasar Minggu,1600000000
2,2,2,50,65,SHM,Pasar Minggu,900000000
4,4,2,72,140,SHM,Pasar Minggu,2150000000
3,2,2,83,75,SHM,Pasar Minggu,800000010
3,3,2,83,100,SHM,Pasar Minggu,1300000000
2,2,1,60,40,SHM,Pasar Minggu,300000000
2,1,1,40,30,SHM,Pasar Minggu,195000000
2,1,1,60,45,SHM,Pasar Minggu,265000000
3,3,3,86,133,SHM,Pasar Minggu,1955000000
4,3,2,70,150,SHM,Pasar Minggu,1500000000
3,3,2,82,68,SHM,Pasar Minggu,700000000
4,4,3,85,185,SHM,Pasar Minggu,2150000000
4,4,3,72,126,SHM,Pasar Minggu,1600000000
3,2,2,73,70,SHM,Pasar Minggu,895000000
4,4,2,144,104,SHM,Pasar Minggu,2450000000
3,1,1,65,40,SHM,Pasar Minggu,330000000
3,3,2,90,110,SHM,Pasar Minggu,920004610
3,2,1,85,85,SHM,Pasar Minggu,625000000
3,2,2,49,100,SHM,Pasar Minggu,1375000000
4,3,2,150,200,SHM,Pasar Minggu,2900000000
4,4,2,120,160,SHM,Pasar Minggu,2300000000
3,2,2,60,57,SHM,Pasar Minggu,600000000
4,3,2,105,115,SHM,Pasar Minggu,1400000000
2,1,1,40,30,SHM,Pasar Minggu,200000000
3,2,1,60,36,SHM,Pasar Minggu,335000000
3,2,3,73,56,SHM,Pasar Minggu,855000000
2,2,2,49,100,SHM,Pasar Minggu,1300000000
2,2,1,90,60,SHM,Pasar Minggu,720000000
3,2,2,60,57,SHM,Pesanggrahan,600000000
5,4,2,106,200,SHM,Pesanggrahan,1990000000
2,1,1,78,50,SHM,Pesanggrahan,492000000
3,3,2,84,122,SHM,Pesanggrahan,1300000000
3,3,2,117,150,SHM,Pesanggrahan,2200000000
3,3,2,88,120,SHM,Pesanggrahan,1950000000
2,2,2,63,120,SHM,Pesanggrahan,2800000000
3,3,2,130,106,SHM,Pesanggrahan,1650000000
3,2,1,123,99,SHM,Pesanggrahan,1440000000
2,1,1,49,49,SHM,Pesanggrahan,575000000
4,3,2,120,176,SHM,Pesanggrahan,2500000000
3,2,2,60,74,SHM,Pesanggrahan,989000000
3,2,2,125,85,SHM,Pesanggrahan,1100000000
3,2,1,132,100,SHM,Pesanggrahan,1480000000
3,3,2,96,104,SHM,Pesanggrahan,1285000000
3,3,1,186,140,SHM,Pesanggrahan,2500000000
5,4,2,98,150,SHM,Pesanggrahan,1900000000
3,3,2,107,162,SHM,Pesanggrahan,2200000000
3,2,2,44,50,SHM,Pesanggrahan,1023000000
4,4,3,72,125,SHM,Pesanggrahan,1600000000
3,3,2,60,80,SHM,Pesanggrahan,1170000000
3,3,2,60,79,SHM,Pesanggrahan,1170000000
2,1,1,60,28,HGB,Pesanggrahan,179000052
3,4,2,92,147,SHM,Pesanggrahan,2300000000
2,1,1,90,36,SHM,Pesanggrahan,875000000
2,1,1,60,36,SHM,Pesanggrahan,700000000
