NBED,NBATH,NFLOOR,BLDAR,LNDAR,CERT,LOC,Price
3,3,2,88,120,SHM,Pesanggrahan,1950000000
3,3,2,107,162,SHM,Pesanggrahan,2200000000
3,1,1,65,40,SHM,Pasar Minggu,330000000
2,1,1,60,36,SHM,Mampang Prapatan,300000004
3,3,3,86,133,SHM,Pasar Minggu,1955000000
3,2,2,89,100,SHM,Kebayoran Baru,950000000
3,2,3,73,56,SHM,Pasar Minggu,855000000
3,3,2,82,68,SHM,Cilandak,700000000
3,2,3,73,56,SHM,Cilandak,855000000
2,1,1,46,46,SHM,Mampang Prapatan,550000000
3,3,2,82,68,SHM,Mampang Prapatan,700000000
4,3,2,86,120,SHM,Cilandak,950000000
3,3,2,82,68,SHM,Pasar Minggu,700000000
3,2,2,80,58,SHM,Mampang Prapatan,1300000001
3,1,1,72,46,SHM,Pancoran,752000000
2,1,1,50,78,SHM,Cilandak,492000000
3,2,2,100,160,SHM,Kebayoran Lama,1150000000
4,4,2,120,160,SHM,Pasar Minggu,2300000000
4,4,2,139,200,SHM,Cilandak,2200000000
4,4,3,85,185,SHM,Pasar Minggu,2150000000
4,3,2,70,150,SHM,Pasar Minggu,1500000000
2,2,1,150,90,SHM,Kebayoran Baru,1500000000
2,2,1,40,80,SHM,Pancoran,500000000
3,2,2,103,73,SHM,Mampang Prapatan,2000000001
3,2,1,54,52,SHM,Pancoran,595000077
2,1,1,40,30,SHM,Cilandak,200000000
2,1,1,72,46,SHM,Pesanggrahan,715000000
3,3,3,84,145,SHM,Kebayoran Baru,1795000000
2,1,1,40,30,SHM,Pesanggrahan,200000000
2,1,1,40,30,SHM,Pasar Minggu,200000000
3,2,2,60,74,SHM,Kebayoran Baru,989000000
4,4,2,110,140,SHM,Cilandak,2640000000
3,3,2,96,104,SHM,Pesanggrahan,1285000000
3,2,2,84,150,SHM,Cilandak,2800000000
2,1,1,40,30,SHM,Mampang Prapatan,200000000
3,2,2,120,79,SHM,Cilandak,1600000001
3,3,2,83,100,SHM,Pasar Minggu,1300000000
4,4,3,80,140,SHM,Cilandak,1249000671
4,4,2,80,140,SHM,Pasar Minggu,1249000561
4,2,2,74,96,SHM,Pesanggrahan,980000000
2,1,1,40,30,SHM,Pancoran,200000000
3,3,2,60,79,SHM,Mampang Prapatan,1170000000
3,2,2,95,105,SHM,Cilandak,1800000000
3,2,3,75,88,SHM,Cilandak,1550000000
3,3,2,60,79,SHM,Cilandak,1170000000
4,4,3,80,140,SHM,Kebayoran Baru,1249008627
3,3,2,60,79,SHM,Pesanggrahan,1170000000
4,4,3,80,140,SHM,Mampang Prapatan,1249000733
2,1,1,72,45,SHM,Mampang Prapatan,499000062
2,1,1,72,45,SHM,Kebayoran Baru,499002610
3,2,1,60,36,SHM,Pasar Minggu,335000000
3,2,2,89,80,SHM,Cilandak,1284000000
2,1,1,40,30,SHM,Pasar Minggu,195000000
3,2,2,44,50,SHM,Pesanggrahan,1023000000
3,3,2,102,120,SHM,Kebayoran Baru,1349005661
5,4,2,107,167,SHM,Cilandak,2000000000
3,2,2,60,65,SHM,Kebayoran Baru,800000004
2,1,1,90,36,SHM,Pesanggrahan,875000000
2,1,1,60,38,SHM,Pesanggrahan,475000000
3,2,1,123,99,SHM,Pesanggrahan,1440000000
5,4,2,135,147,SHM,Pesanggrahan,2700000000
4,4,2,72,150,SHM,Kebayoran Lama,1625000000
3,3,2,60,80,SHM,Pesanggrahan,1170000000
3,3,2,60,80,SHM,Kebayoran Baru,1170000000
4,4,2,72,140,SHM,Pasar Minggu,2150000000
3,2,2,63,65,SHM,Mampang Prapatan,1300000000
3,3,2,96,131,SHM,Mampang Prapatan,2700000001
4,2,2,104,160,SHM,Cilandak,2800000000
5,4,2,106,200,SHM,Pesanggrahan,1990000000
3,2,2,73,70,SHM,Pasar Minggu,895000000
2,1,1,60,30,SHM,Pasar Minggu,192000000
3,2,2,72,82,SHM,Pesanggrahan,1300000000
2,2,1,90,60,SHM,Pasar Minggu,720000000
3,2,2,61,72,SHM,Cilandak,1041000000
3,2,2,55,66,SHM,Kebayoran Lama,500000004
5,3,2,98,150,SHM,Pesanggrahan,1900000000
3,2,2,60,45,SHM,Pesanggrahan,685000000
3,2,2,60,67,SHM,Kebayoran Baru,820000000
3,3,2,84,122,SHM,Pesanggrahan,1300000000
2,1,1,60,36,SHM,Pesanggrahan,700000000
4,2,2,72,83,SHM,Pasar Minggu,900000000
2,2,2,50,65,SHM,Pasar Minggu,900000000
5,3,2,112,224,HGB,Mampang Prapatan,2700000000
2,3,1,167,160,SHM,Cilandak,1920000000
2,2,2,50,65,SHM,Mampang Prapatan,900000000
3,3,2,87,110,SHM,Pasar Minggu,1150000003
3,3,2,87,110,SHM,Pancoran,1150000004
3,3,2,130,106,SHM,Pesanggrahan,1650000000
3,2,2,125,85,SHM,Cilandak,1100000000
3,3,2,92,80,SHM,Pancoran,985000014
3,2,2,60,57,SHM,Cilandak,600000000
3,2,2,60,57,SHM,Kebayoran Baru,600000000
3,2,2,60,57,SHM,Kebayoran Lama,600000000
3,2,2,60,57,SHM,Mampang Prapatan,600000000
3,2,2,125,85,SHM,Kebayoran Baru,1100000000
3,2,2,60,57,SHM,Pancoran,600000000
3,2,2,60,57,SHM,Pasar Minggu,600000000
3,2,2,60,57,SHM,Pesanggrahan,600000000
2,1,1,60,40,SHM,Cilandak,300000000
3,2,2,49,100,SHM,Pasar Minggu,1375000000
3,3,2,170,150,SHM,Kebayoran Lama,1000000000
3,2,1,111,95,SHM,Pasar Minggu,1600000000
2,2,1,60,40,SHM,Pasar Minggu,300000000
4,4,3,72,126,SHM,Pancoran,1600000000
3,3,2,87,110,SHM,Kebayoran Baru,900067114
3,2,2,125,85,SHM,Kebayoran Lama,1100000000
3,3,2,90,110,SHM,Pasar Minggu,920004610
3,2,2,125,85,SHM,Mampang Prapatan,1100000000
3,2,2,125,85,SHM,Pancoran,1100000000
3,2,2,125,85,SHM,Pesanggrahan,1100000000
2,1,1,60,55,SHM,Kebayoran Lama,250000000
3,2,1,72,45,SHM,Cilandak,365000000
4,2,2,120,120,SHM,Mampang Prapatan,2000000000
4,3,2,105,115,SHM,Pasar Minggu,1400000000
3,3,1,186,140,SHM,Pesanggrahan,2500000000
4,3,2,151,150,SHM,Cilandak,1500000000
3,2,2,98,180,Lainnya,Mampang Prapatan,850000000
4,3,2,94,100,SHM,Kebayoran Baru,1500000000
2,1,1,60,45,SHM,Mampang Prapatan,265000000
2,1,1,60,45,SHM,Pancoran,265000000
2,1,1,60,45,SHM,Pasar Minggu,265000000
2,2,2,63,120,SHM,Pesanggrahan,2800000000
4,3,2,150,200,SHM,Pasar Minggu,2900000000
2,1,1,49,49,SHM,Pesanggrahan,575000000
